구분,상품명,ISBN13,저자,출판사,출간일
수험서/자격증,2025 기업법 2 조문노트,9791159734328.0,정인국 지음,세경,20241105
수험서/자격증,2025 기분파 정답이 보이는 운전면허 필기 학과시험문제은행 (1종.2종 공통),9791194328124.0,도로교통공단 지음,에듀웨이(주),20250210
수험서/자격증,2025 기분파 화물운송종사 필기 자격시험,9791194328070.0,에듀웨이 R&D 연구소 엮음,에듀웨이(주),20250210
수험서/자격증,진리쌤 체육교원임용 교수·학습 지도안 작성 & 수업실연 완벽분석,9791194247036.0,성진리 지음,캠버스,20241106
수험서/자격증,2025 경폴카 경찰실무종합 모의고사 진도별 & 전범위,9791165235642.0,김현조.이시훈 지음,에이씨엘커뮤니케이션,20241115
수험서/자격증,2025 형사소송법 최종마무리 모의고사,9791192989662.0,함승한 지음,양지에듀,20240905
수험서/자격증,간추린 사회복지사 1급 기출문제집,9791193871638.0,김유경 지음,지식터,20241125
수험서/자격증,민법총칙의 맥 기본서,9791193418321.0,윤동환.임준기 지음,(주)TRS 아카데미,20241111
수험서/자격증,2025 PSK 경찰학 ALL IN ONE 전범위기출 동형모의고사,9788952649225.0,박상규 지음,서울고시각,20250110
수험서/자격증,2025 나눔의집 사회복지사 1급 핵심요약집,9788958105046.0,사회복지교육연구센터 엮음,나눔의집,20241130
수험서/자격증,2025 나눔의집 사회복지사 1급 강의로 풀이하는 합격예상문제집,9788958105022.0,사회복지교육연구센터 엮음,나눔의집,20241130
수험서/자격증,2025 전효진 기본헌법 - 전2권,9791167931658.0,전효진 지음,사피엔스넷,20241130
수험서/자격증,2025 해커스 이훈엽 세법 마스터,9791172444167.0,이훈엽 지음,해커스경영아카데미,20241122
수험서/자격증,2025 최영희행정학 기출 숙련 300제,9791192659817.0,최영희 지음,에이치북스,20241126
수험서/자격증,세무사 2차 대비 원가관리회계,9791156264934.0,이승우 지음,샘앤북스,20241119
수험서/자격증,2024 시대에듀 한국실용글쓰기 실제기출분석,9791138362801.0,이영택 지음,시대에듀(시대고시기획),20250110
수험서/자격증,혼자 공부하는 데이터 분석 with 파이썬,9791169210287.0,박해선 지음,한빛미디어,20230102
수험서/자격증,자소서 바이블 2.0,9791197980701.0,면접왕 이형 지음,얼라이브북스(Alivebooks),20220825
수험서/자격증,2024 고시넷 NCS 지역농협 6급 통합기본서 인적성 및 직무능력평가,9791156468110.0,고시넷 NCS 연구소 지음,고시넷,20240308
수험서/자격증,해커스공기업 NCS 피듈형(모듈+피셋) 통합 봉투모의고사 7회 (온라인 1회 포함),9788969653239.0,해커스 취업교육연구소 지음,해커스공기업,20230103
수험서/자격증,해커스 국제무역사 1급 4주 완성 이론 + 적중문제 + 모의고사 (온라인 시험 대비),9791169992534.0,진민규.해커스 무역연구소 지음,해커스금융,20230612
