구분,ISBN13,review_content,rating
고전,9788901082066,내겐 그 어떤 소설들 보다 마음에 들고 좋았던...,4.0
고전,9788901082066,괜히 툴툴거리며 보게 되는 크리마스캐럴~~뭐 땜에!!??? 표지디자인이 너무 귀엽다!,2.0
고전,9788901082066,스크루지 스토리가 궁금하신분은 이책 추천이요. ㅎㅎ,5.0
고전,9788901082066,모두가 알고 있지만 대부분 안 읽어본 책. 이런 책들을 찾아 읽는 것은 너무 재미있다.물론 찰스 디킨스가 굉장한 이야기 꾼이기 때문이기도 하다.,5.0
고전,9788901082066,행복한 크리스마스날의 이야기 모음집정도!! 교훈을 주려고 무지 노력한 책이다..,4.0
고전,9788901082066,독자를 가르치려는 의도가 너무나 일차원적으로 드러나서 반감이 생긴다.,2.0
고전,9788901082066,"펭귄 클래식의 면모, 디킨스의 눈앞에서 그려내는 묘사력.",3.0
고전,9788901082066,"크리스마스캐럴 얼마전 짐캐리 영화로 만나봤으니, 이젠 펭귄클래식으로 다시 만난다.",5.0
고전,9788901082134,카프카의 성 중에서 가장 예쁜 판본이라고 확신함. 번역도 나쁘지 않음.,5.0
고전,9788901082134,K가 나 같아서 아무말도 할 수 없었다,5.0
고전,9788901082134,지독하게 혼돈스러운 책이다. 번역가가 대단하게 느껴진다. 어디까지 번역했는지 헷갈리지 않았을까. 미완성이지만 느껴지는 게 많았다.,5.0
고전,9788901082134,K는 무엇을 위해 그곳에 가려하는가?,5.0
고전,9788901082134,아무 것도 할 수 없다는 무력감과 막막함.,5.0
고전,9788901082134,소설같은 건축. 건축같은 소설.,5.0
고전,9788901082134,절망을 안고 삶에 반항하는 인간의 열광에 대하여,5.0
고전,9788901082134,‘성‘이야말로 가장 카프카다운 소설이 아닐까.,5.0
고전,9788901082134,"공교롭게도 너무도 현실적이고, 사무칠 정도로 공감되는 책.",5.0
고전,9788901082134,이 책은 프란츠 카프카가 쓴 20세기 공포소설이다.자전적인 성격을띠며 소설의 주인공인 K.가 보이지않는 성의 백작과 장애물들을 물리치다가 미완성으로 끝나는 이야기다. K.는 결국 일자리를 얻지 못할것이다. 카프카의 생각처럼 공포는 비극적 희극임을 여실히 알수있는 책이다.흉내낼수없는 작품,5.0
고전,9788901088235,사랑 때문에 죽어버리는 이 남자를 어찌해야 하나. 20대 때 이해 못했던 그가 왜 이제와서 가슴에 와 닿는건가... 아.. 사랑이란..영화에서 미나의 칼에 죽은 드라큐라가 떠오른다...,4.0
고전,9788901088235,가슴아픈 이야기 ㅠㅠ  베르테르가 너무 감성적인 청년이었던게 비극의 시작같아요..,5.0
고전,9788901088235,"이보다 더한 사랑얘기가 있을까. 개인적 취향의 비극소설이기도 하고, 일희일비하는 베르테르가 마음에 들기도 하고, 몇 번을 읽어도 여전히 베르테르는 찬란한 사람이라서, 이건 단순한 (개인의) 연애담이 아닌거예요.",5.0
고전,9788901088235,저도 주문했습니다! 아직 잃어보진 못했는데..기대되네요.,5.0
고전,9788901088235,"펭클을 좋아하는 나머지, 반값하면 참을 수가 없어요. 덕분에 오랜 숙제 완료.",5.0
고전,9788901088235,가슴 깊이 사랑의 감동을 주는 명작입니다.,5.0
고전,9788901088235,너무나 유명한 책을 이제서야...역시 대단. 주인공 심경을 느끼면서 볼 수 있었음. 나도 가슴이 아려오더군요. 강추,5.0
고전,9788901088235,베르테르의 슬픔을 느끼고파..,5.0
고전,9788901088235,둘시네아를 공주라는 돈 키호테.여염집 처자를 천사라는 베르테르.필요에 의한 창조.,4.0
고전,9788901088235,"인간본성에차갑게마주하는이성적인면모를,지극히감성적인필체로감춘책.",4.0
고전,9788901093277,"마지막 문장에 주목할 필요가 있습니다. 사망 선고 너머까지 연장되도록 빨라지는 시간과 다 끝났다는데도 이반 일리치가 독백하는 공간, 이 특별한 시공간에서 바로 죽음의 권리가 회복된다고 할 수 있습니다. ㅡ철학자 김진영의 전복적 소설 읽기 중 p.36. ‘이반 일리치의 죽음‘과 엮어읽음.",4.0
고전,9788901093277,죽음이 스며드는 끔찍한 육체의 고통 속에서도 가장 괴로운 건 결국 외로움.,4.0
고전,9788901093277,내 몸이 죽을 병에 걸린 것 같다고 진지하게 생각할 때마다 이 책이 떠오른다. 아직 젊고 100세 시대라곤 하나 누구나 100세까지 살 수 있는 것은 아니니까... 언제 나에게 닥칠지 모르는 일이다. 우리 모두 시한부 인생이며 항상 죽음을 준비하며 다시는 오지않을 현재를 살아야만 한다. 남을 흉내내지 않은 나만의 삶으로 말이다. 조만간 2회독을 하고 다시 서평을 남기고 싶은 책!,5.0
고전,9788901093277,재미 없습니다.,1.0
고전,9788901093277,산다는 것은 대체로 우울하고 때때로 절망하며 가끔씩 행복한 일이 아닐까?,4.0
고전,9788901093277,기대보다..음...,2.0
고전,9788901105161,리뷰없음,0.0
고전,9788901105802,체홉 입문용으로는 굿,4.0
고전,9788901105802,사랑.. 극적인 하나의 장면들.. 지극히 체호프적인..,5.0
고전,9788901105802,인간의 한계,3.0
